Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
524130,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
524470,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0
524770,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0
525110,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0
525410,1BFE223A,TRUE,Rx,0,8,4,1,0,0,63,0,0,0
525750,1BFE223B,TRUE,Rx,0,8,12,0,0,0,0,0,0,0
526090,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0
526390,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C
526730,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
599850,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
609840,564,FALSE,Rx,0,8,DF,0D,0,0,F8,17,3D,0
619780,1BFE221A,TRUE,Rx,0,8,0,A6,0,0,7E,0,0,0
620080,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A
620380,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA
620670,1BFE2217,TRUE,Rx,0,8,0,0,CD,B4,A5,0,0,0
620970,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
621310,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
621610,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
621950,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0
622250,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0
622550,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0
622890,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0
623190,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
623530,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0
623830,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
624170,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0
624470,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0
624810,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0
625110,1BFE223A,TRUE,Rx,0,8,4,1,0,0,59,0,0,0
625450,1BFE223B,TRUE,Rx,0,8,8,0,0,0,0,0,0,0
625750,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0
626090,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C
626430,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
699860,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
719740,1BFE221A,TRUE,Rx,0,8,0,A6,0,0,7E,0,0,0
720080,1BFE2204,TRUE,Rx,0,8,0,0,0,0,0F,0,0,0
720380,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A
720680,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA
720980,1BFE2217,TRUE,Rx,0,8,0,0,CD,B4,A5,0,0,0
721280,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
721620,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
721920,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
722220,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0
722560,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0
722860,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0
723150,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0
723500,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
723790,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0
724140,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
724430,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0
724780,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0
725070,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0
725420,1BFE223A,TRUE,Rx,0,8,4,1,0,0,63,0,0,0
725710,1BFE223B,TRUE,Rx,0,8,12,0,0,0,0,0,0,0
726050,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0
726400,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C
726690,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
799820,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
819750,1BFE221A,TRUE,Rx,0,8,0,A6,0,0,7E,0,0,0
820040,1BFE2207,TRUE,Rx,0,8,46,0,0,88,0,28,1,4
820340,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A
