Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,
520150,1BFE2209,TRUE,Rx,0,8,0,0,1,0,40,30,0,0,,
520450,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
520750,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA,,
521050,1BFE2217,TRUE,Rx,0,8,0,0,CD,B5,A6,0,0,0,,
521390,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
521690,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
521990,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
522330,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0,,
522630,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0,,
522970,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0,,
523270,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0,,
523570,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
523910,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0,,
524210,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
524550,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0,,
524850,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0,,
525190,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0,,
525490,1BFE223A,TRUE,Rx,0,8,4,1,0,0,51,0,6,0,,
525830,1BFE223B,TRUE,Rx,0,8,14,0,0,0,0,0,0,0,,
526170,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0,,
526470,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C,,
526810,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
599940,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0,,
619820,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0,,
620120,1BFE2206,TRUE,Rx,0,8,46,0,0,86,0,6,2,4,,
620420,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
620760,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,BF,FA,,
621060,1BFE2217,TRUE,Rx,0,8,0,0,CD,B5,A6,0,0,0,,
621350,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
621700,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
621990,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
622290,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0,,
622630,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0,,
622930,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0,,
623230,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0,,
623570,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
623870,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0,,
624210,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
624510,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0,,
624850,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0,,
625150,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0,,
625490,1BFE223A,TRUE,Rx,0,8,4,1,0,0,5B,0,0,0,,
625790,1BFE223B,TRUE,Rx,0,8,0A,0,0,0,0,0,0,0,,
626130,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0,,
626470,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C,,
626770,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
699900,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0,,
719820,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0,,
720120,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
720420,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA,,
720720,1BFE2217,TRUE,Rx,0,8,0,0,CD,B5,A5,0,0,0,,
721060,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
721360,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
721660,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
722000,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0,,
722300,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0,,
722640,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0,,
722940,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0,,
723240,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
723580,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0,,
723880,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
724220,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0,,
724520,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0,,
724860,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0,,
725160,1BFE223A,TRUE,Rx,0,8,4,1,0,0,51,0,6,0,,
725500,1BFE223B,TRUE,Rx,0,8,14,0,0,0,0,0,0,0,,
725800,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0,,
726140,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C,,
726480,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
799900,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0,,
819830,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0,,
820130,1BFE2209,TRUE,Rx,0,8,0,0,1,0,30,30,0,0,,
820420,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
820720,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA,,
821020,1BFE2217,TRUE,Rx,0,8,0,0,CD,B5,A6,0,0,0,,
821360,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
821660,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
821960,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
822300,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0,,
822600,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0,,
822940,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0,,
823240,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0,,
823580,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
823880,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0,,
824220,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
824520,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0,,
824860,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0,,
825160,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0,,
825500,1BFE223A,TRUE,Rx,0,8,4,1,0,0,5B,0,0,0,,
825800,1BFE223B,TRUE,Rx,0,8,0A,0,0,0,0,0,0,0,,
826140,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0,,
826440,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C,,
826780,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
889880,1BFE2234,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
899910,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0,,
909890,0000067E,FALSE,Rx,0,8,14,0F,0,0,5B,0,0,40,,
919820,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0,,
920120,1BFE2202,TRUE,Rx,0,8,90,21,43,6,0,0,0,7,,
920420,1BFE2206,TRUE,Rx,0,8,46,0,0,86,0,4,2,4,,
920710,1BFE2208,TRUE,Rx,0,8,32,0,0,0,0,0,0,0,,
921010,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
921350,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA,,
921650,1BFE2217,TRUE,Rx,0,8,0,0,CD,B4,A5,0,0,0,,
